SAMPLE_ID	mutations	cna	structural_variants
MSK-L-001-001A	ctDx_lung_panel	ctDx_lung_panel	ctDx_lung_panel
MSK-L-002-001B	ctDx_lung_panel	ctDx_lung_panel	ctDx_lung_panel
MSK-L-002-002	ctDx_lung_panel	ctDx_lung_panel	ctDx_lung_panel
MSK-L-002-003	ctDx_lung_panel	ctDx_lung_panel	ctDx_lung_panel
MSK-L-002-004	ctDx_lung_panel	ctDx_lung_panel	ctDx_lung_panel
MSK-L-002-005	ctDx_lung_panel	ctDx_lung_panel	ctDx_lung_panel
MSK-L-002-006	ctDx_lung_panel	ctDx_lung_panel	ctDx_lung_panel
MSK-L-002-007	ctDx_lung_panel	ctDx_lung_panel	ctDx_lung_panel
MSK-L-002-008	ctDx_lung_panel	ctDx_lung_panel	ctDx_lung_panel
MSK-L-003-001A	ctDx_lung_panel	ctDx_lung_panel	ctDx_lung_panel
MSK-L-003-003	ctDx_lung_panel	ctDx_lung_panel	ctDx_lung_panel
MSK-L-004-001A	ctDx_lung_panel	ctDx_lung_panel	ctDx_lung_panel
MSK-L-005-001A	ctDx_lung_panel	ctDx_lung_panel	ctDx_lung_panel
MSK-L-006-002	ctDx_lung_panel	ctDx_lung_panel	ctDx_lung_panel
MSK-L-007-001A	ctDx_lung_panel	ctDx_lung_panel	ctDx_lung_panel
MSK-L-008-001A	ctDx_lung_panel	ctDx_lung_panel	ctDx_lung_panel
MSK-L-008-002	ctDx_lung_panel	ctDx_lung_panel	ctDx_lung_panel
MSK-L-009-001A	ctDx_lung_panel	ctDx_lung_panel	ctDx_lung_panel
MSK-L-010-001A	ctDx_lung_panel	ctDx_lung_panel	ctDx_lung_panel
MSK-L-011-001	ctDx_lung_panel	ctDx_lung_panel	ctDx_lung_panel
MSK-L-012-001A	ctDx_lung_panel	ctDx_lung_panel	ctDx_lung_panel
MSK-L-012-002	ctDx_lung_panel	ctDx_lung_panel	ctDx_lung_panel
MSK-L-012-003	ctDx_lung_panel	ctDx_lung_panel	ctDx_lung_panel
MSK-L-012-004	ctDx_lung_panel	ctDx_lung_panel	ctDx_lung_panel
MSK-L-012-005	ctDx_lung_panel	ctDx_lung_panel	ctDx_lung_panel
MSK-L-012-006	ctDx_lung_panel	ctDx_lung_panel	ctDx_lung_panel
MSK-L-013-001A	ctDx_lung_panel	ctDx_lung_panel	ctDx_lung_panel
MSK-L-014-001A	ctDx_lung_panel	ctDx_lung_panel	ctDx_lung_panel
MSK-L-014-002	ctDx_lung_panel	ctDx_lung_panel	ctDx_lung_panel
MSK-L-015-001A	ctDx_lung_panel	ctDx_lung_panel	ctDx_lung_panel
MSK-L-016-001A	ctDx_lung_panel	ctDx_lung_panel	ctDx_lung_panel
MSK-L-017-001A	ctDx_lung_panel	ctDx_lung_panel	ctDx_lung_panel
MSK-L-018-001A	ctDx_lung_panel	ctDx_lung_panel	ctDx_lung_panel
MSK-L-018-002	ctDx_lung_panel	ctDx_lung_panel	ctDx_lung_panel
MSK-L-019-001	ctDx_lung_panel	ctDx_lung_panel	ctDx_lung_panel
MSK-L-020-001	ctDx_lung_panel	ctDx_lung_panel	ctDx_lung_panel
MSK-L-021-001	ctDx_lung_panel	ctDx_lung_panel	ctDx_lung_panel
MSK-L-022-001	ctDx_lung_panel	ctDx_lung_panel	ctDx_lung_panel
MSK-L-023-001	ctDx_lung_panel	ctDx_lung_panel	ctDx_lung_panel
MSK-L-024-001	ctDx_lung_panel	ctDx_lung_panel	ctDx_lung_panel
MSK-L-025-001	ctDx_lung_panel	ctDx_lung_panel	ctDx_lung_panel
MSK-L-026-001	ctDx_lung_panel	ctDx_lung_panel	ctDx_lung_panel
MSK-L-028-001	ctDx_lung_panel	ctDx_lung_panel	ctDx_lung_panel
MSK-L-029-001	ctDx_lung_panel	ctDx_lung_panel	ctDx_lung_panel
MSK-L-029-002	ctDx_lung_panel	ctDx_lung_panel	ctDx_lung_panel
MSK-L-030-001	ctDx_lung_panel	ctDx_lung_panel	ctDx_lung_panel
MSK-L-031-001	ctDx_lung_panel	ctDx_lung_panel	ctDx_lung_panel
MSK-L-032-001	ctDx_lung_panel	ctDx_lung_panel	ctDx_lung_panel
MSK-L-033-001	ctDx_lung_panel	ctDx_lung_panel	ctDx_lung_panel
MSK-L-034-001	ctDx_lung_panel	ctDx_lung_panel	ctDx_lung_panel
