Hugo_Symbol	MSK-L-020-001	MSK-L-054-001	MSK-L-012-002	MSK-L-046-002	MSK-L-226-001	MSK-L-169-003	MSK-L-392-001	MSK-L-455-001	MSK-L-478-001	MSK-L-705-001	MSK-L-169-006	MSK-L-737-001	MSK-L-731-006	MSK-L-800-001	MSK-L-800-003	MSK-L-858-001	MSK-L-875-001	MSK-L-712-002	MSK-L-012-005	MSK-L-935-002	MSK-L-706-009	MSK-L-967-001	MSK-L-706-010	MSK-L-800-008	MSK-L-987-003	MSK-L-987-006	MSK-L-012-006	MSK-L-998-006	MSK-L-987-007	MSK-L-1034-001	MSK-L-938-002	MSK-L-938-003	MSK-L-1066-001	MSK-L-1074-001	MSK-L-1110-001	MSK-L-592-002	MSK-L-1154-001	MSK-L-887-002	MSK-L-1154-002	MSK-L-1156-001	MSK-L-1158-001	MSK-L-1158-003	MSK-L-592-003	MSK-L-1168-001	MSK-L-887-003	MSK-L-592-005	MSK-L-1170-001	MSK-L-1168-002	MSK-L-061-004	MSK-L-1182-001	MSK-L-568-001	MSK-L-009-001A	MSK-L-449-001	MSK-L-185-001	MSK-L-233-001	MSK-L-244-002	MSK-L-267-001	MSK-L-295-001	MSK-L-277-002	MSK-L-428-001	MSK-L-451-001	MSK-L-063-003	MSK-L-927-001	MSK-L-971-001	MSK-L-1069-001	MSK-L-1148-001	MSK-L-017-001A	MSK-L-752-001	MSK-L-123-001	MSK-L-129-001	MSK-L-138-001	MSK-L-179-001	MSK-L-204-001	MSK-L-369-001	MSK-L-371-001	MSK-L-420-001	MSK-L-462-001	MSK-L-306-001	MSK-L-730-001	MSK-L-770-001	MSK-L-784-001	MSK-L-847-001	MSK-L-905-001	MSK-L-934-001	NCI-L-015-01	NCI-L-053-01	NCI-L-073-01	NCI-L-122-01	NCI-L-145-01	NCI-L-168-01	MSK-L-046-001	MSK-L-047-001	MSK-L-047-002	MSK-L-440-001	MSK-L-514-001	MSK-L-629-001	MSK-L-653-001	MSK-L-666-002	MSK-L-795-001	MSK-L-801-001	MSK-L-823-001	MSK-L-830-001	MSK-L-938-001	MSK-L-1086-001	MSK-L-1139-001	MSK-L-1145-001	MSK-L-182-001	MSK-L-220-001	MSK-L-262-001	MSK-L-264-002	MSK-L-468-001	MSK-L-670-001	MSK-L-260-001	MSK-L-785-001	MSK-L-605-002	MSK-L-706-002	MSK-L-706-003	MSK-L-487-002	MSK-L-487-003	MSK-L-936-001	NCI-L-037-01	NCI-L-077-01	MSK-L-060-001	MSK-L-116-001	MSK-L-189-001	MSK-L-195-001	MSK-L-207-001	MSK-L-349-001	MSK-L-393-001	MSK-L-500-001	MSK-L-727-001	MSK-L-740-001	MSK-L-751-001	MSK-L-851-001	MSK-L-890-001	MSK-L-894-001	MSK-L-897-001	MSK-L-904-001	MSK-L-925-001	MSK-L-972-001	MSK-L-984-001	MSK-L-986-001	MSK-L-1009-001	MSK-L-1020-001	MSK-L-1021-001	MSK-L-1035-001	MSK-L-1059-001	MSK-L-860-002	MSK-L-1088-001	MSK-L-1098-001	MSK-L-1099-001	MSK-L-1113-001	MSK-L-1126-001	MSK-L-1137-001	MSK-L-1143-001	MSK-L-1141-001	MSK-L-1160-001	MSK-L-1169-001	MSK-L-1174-001	MSK-L-210-001	MSK-L-215-001	MSK-L-507-001	MSK-L-526-001	MSK-L-488-002	MSK-L-657-001	MSK-L-747-001	MSK-L-761-001	MSK-L-693-002	MSK-L-693-003	MSK-L-746-002	MSK-L-952-001	MSK-L-985-001	MSK-L-1013-001	MSK-L-1019-001	MSK-L-110-001	MSK-L-309-001	MSK-L-374-001	MSK-L-535-001	MSK-L-586-001	MSK-L-695-001	MSK-L-606-001	MSK-L-829-001	MSK-L-940-001	NCI-L-187-01	NCI-L-192-01	NCI-L-119-001	MSK-L-489-001	MSK-L-951-001	MSK-L-963-001	MSK-L-485-001	MSK-L-714-002	MSK-L-970-001	MSK-L-1090-001	MSK-L-398-001	MSK-L-755-001	MSK-L-821-001	MSK-L-1031-001	NCI-L-081-01	MSK-L-540-001	MSK-L-763-001	MSK-L-829-002	MSK-L-826-001	MSK-L-833-001	MSK-L-889-001	MSK-L-874-001	MSK-L-968-001	MSK-L-1058-001	MSK-L-1119-001	MSK-L-1134-001	MSK-L-669-001	MSK-L-666-001	MSK-L-526-002	MSK-L-804-001	MSK-L-846-001	MSK-L-1007-001	MSK-L-871-001	MSK-L-994-001	MSK-L-995-001	MSK-L-1002-001
RICTOR	5.7	NA	NA	NA	NA	NA	NA	7.8	3.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.0	3.3	NA	NA	NA	NA	NA	NA	NA	NA	3.7	3.8	NA	NA	NA	NA	NA	NA	4.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.8	3.8	NA	NA	8.7	NA	NA	NA	4.9	NA	NA	NA	NA	NA	NA	NA	NA	2.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.5	NA	NA	NA	NA	NA	4.3	NA	NA	3.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.0	7.4	NA	5.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.2	NA	NA	4.3	NA	4.6	NA	11.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.0	NA	6.7	NA	NA	NA	NA	4.3	NA	NA	NA	NA	NA	3.4	30.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.2	NA	5.3	4.5	NA	NA	NA	NA	NA	NA	NA	NA	2.9	NA	3.0	NA	NA	NA	NA	NA	NA	NA	NA
MET	NA	7.1	NA	NA	NA	15.8	4.8	NA	NA	NA	8.0	NA	NA	NA	NA	NA	NA	4.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.8	NA	NA	NA	NA	NA	NA	34.2	22.3	37.1	NA	NA	NA	NA	NA	17.9	NA	NA	NA	2.9	NA	3.8	NA	NA	12.2	NA	NA	NA	8.1	NA	NA	NA	12.9	NA	NA	NA	NA	NA	9.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.0	4.8	NA	NA	NA	NA	NA	4.0	NA	NA	NA	NA	2.7	NA	4.0	4.5	15.4	NA	4.6	NA	NA	2.5	NA	NA	NA	2.5	NA	NA	NA	4.4	NA	4.1	NA	NA	14.7	NA	NA	28.2	NA	NA	NA	NA	4.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.2	NA	NA	NA	NA	NA	9.5	NA	8.7	NA	NA	2.8	NA	NA	6.5	NA	2.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.4	42.2	NA	14.7	12.0	6.8	3.5	NA	NA	NA	NA	8.5	5.2	3.8	3.3	NA	NA	NA	NA	22.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.8	NA	2.3	4.3	NA	NA	NA	NA	33.7	7.1	NA	NA	NA	NA	9.2	2.4
EGFR	NA	NA	3.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.8	NA	NA	NA	NA	4.0	4.0	NA	NA	NA	NA	NA	6.1	4.7	4.0	4.9	3.7	NA	NA	NA	NA	NA	NA	77.0	NA	NA	NA	3.3	NA	NA	83.3	NA	NA	46.5	NA	NA	3.4	NA	NA	NA	4.5	NA	NA	NA	15.3	NA	5.4	8.3	47.9	NA	2.6	NA	NA	NA	6.0	NA	47.0	5.0	3.9	38.6	5.4	NA	NA	7.7	60.8	NA	4.1	4.9	2.6	NA	2.5	NA	NA	3.8	4.0	17.9	NA	2.8	3.5	3.6	NA	NA	18.1	NA	NA	NA	3.3	4.0	NA	NA	NA	3.9	4.0	2.5	NA	18.3	3.9	4.5	27.5	NA	NA	NA	NA	NA	NA	3.1	3.0	15.2	7.0	14.2	27.2	NA	NA	4.4	NA	NA	NA	NA	19.2	NA	NA	NA	29.0	3.0	NA	NA	NA	NA	2.3	NA	2.9	NA	NA	NA	4.1	2.4	NA	3.1	NA	NA	2.6	NA	6.7	NA	NA	3.2	4.8	NA	NA	3.1	NA	NA	6.4	8.0	2.3	NA	NA	NA	NA	4.7	NA	NA	13.4	NA	6.9	NA	NA	11.6	NA	NA	6.5	2.5	NA	2.5	3.7	NA	7.0	4.0	NA	NA	NA	6.2	5.3	3.5	3.3	36.6	NA	2.5	NA	12.8	NA	NA	3.5	2.7	NA	2.5	NA	19.3	NA	NA	NA	NA	NA	2.9	5.5	NA	2.9
MYC	NA	NA	NA	5.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.0	35.8	7.0	NA	NA	NA	NA	NA	NA	5.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.8	NA	6.0	NA	NA	NA	5.2	NA	NA	NA	15.2	NA	NA	7.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.1	NA	NA	NA	NA	NA	NA	14.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	45.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.9	NA	25.2	NA	NA	5.3	6.6	NA	NA	NA	NA	4.7	NA	NA	NA	20.0	NA	NA	29.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.9	NA	NA	NA	NA	NA	NA	NA	NA	7.3	NA	NA	NA	NA	NA	11.4	14.8	NA	NA	NA	NA	NA	NA	6.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	30.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.6	NA	NA	NA
TP53	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0.0	NA	NA	0	0.0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	0	0.0	0.0	NA	0	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	0.0	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	0	NA	0.0	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0.0	NA	NA	NA	NA	NA	0	NA	0	NA	NA	NA	NA	NA	NA	0.0	0	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	0	NA	NA	NA	NA	0	NA	NA	0	NA	NA	0.0	0.0	NA	NA	NA	0	NA	NA	NA	NA	0.0	0.0	0	0	NA	NA	NA
FGFR1	NA	NA	NA	NA	NA	NA	NA	NA	6.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.5	NA	4.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.0	NA	NA	5.6	NA	NA	NA	NA	NA
ERBB2	NA	NA	NA	NA	NA	NA	NA	NA	NA	211.0	NA	NA	NA	4.9	5.6	NA	5.3	NA	NA	NA	NA	NA	NA	5.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.1	NA	NA	NA	NA	NA	NA	NA	NA	6.2	NA	NA	NA	5.5	2.8	NA	24.2	NA	NA	NA	NA	61.0	NA	NA	NA	NA	NA	NA	3.0	NA	NA	4.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.4	NA	NA	NA	NA	23.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.5	NA	NA	NA	3.4	3.1	5.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	33.2	NA	NA	NA	NA	2.3	NA	NA	NA	NA	NA	4.7	NA	NA	NA	3.0	NA	NA	NA	NA	3.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.8	NA	2.9	NA	NA	NA	NA	NA	NA	2.7	3.5	5.1	6.3	NA	NA	NA	NA	NA	NA	2.6	NA	NA	NA	NA	NA	NA	2.7	NA	NA	NA	NA	NA	NA	3.2	NA	NA	NA	NA
KRAS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.9	4.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.6	NA	NA	NA	NA	NA	NA	NA	4.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.5	NA	NA	3.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.5	NA	NA	NA
PIK3CA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.0	NA	NA	NA	NA	NA	NA	NA	3.9	NA	NA	NA	6.4	5.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.4	NA	NA	NA	NA	NA	NA	NA	NA	4.7	3.7	NA	NA	33.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.2	NA	NA	NA	NA	NA	NA	10.0	3.1	NA	NA	NA	NA	NA	6.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.0	NA	NA	3.0	NA	NA	NA	3.4	NA	NA	NA	NA	NA	3.5	5.1	NA	NA	NA	NA
NTRK1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.1	3.0	3.3	NA	NA	NA	NA	NA	NA	NA	NA	4.2	4.2	NA	NA	NA	NA	6.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.5	NA	5.6	NA	NA	NA	NA	NA	NA	NA	5.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.8	NA	NA	NA	NA	NA	NA	4.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.6	NA	NA	NA	NA
